Brand,CONDENSER,Coil/Air Handler,FURNACE,AHRI #,Size,SEER2,HSPF2,Finance (Buy-Down),25C Tax Credit
RUUD,RA13NY18AJ1NALHP,RCFY2417STANMC,R962V0403A17M4SCAP,214785341,18000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY18AJ1NALHP,RCFY2417STANMC,R962V0603A17M4SCAP,214785337,18000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY18AJ1NALHP,RCFY2417STANMC,R962V0703A17M4SCAP,214785338,18000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY24AJ1NALHP,RCFY2417STANMC,R962V0403A17M4SCAP,214793266,24000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY24AJ1NALHP,RCFY2417STANMC,R962V0603A17M4SCAP,214793139,24000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY24AJ1NALHP,RCFY2417STANMC,R962V0703A17M4SCAP,214793280,24000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY2417STANMC,R962V0403A17M4SCAP,214786953,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY2417STANMC,R962V0603A17M4SCAP,214786446,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY2417STANMC,R962V0703A17M4SCAP,214786797,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY3617STANMC,R962V0403A17M4SCAP,214786242,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY3617STANMC,R962V0603A17M4SCAP,214786848,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY3617STANMC,R962V0703A17M4SCAP,214786318,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY3621STANMC,R962V0705A21M4SCAP,214786585,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY3621STANMC,R962V0855A21M4SCAP,214786376,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY30AJ1NALHP,RCFY3621STANMC,R962V1005A21M4SCAP,214786187,30000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY36AJ1NALHP,RCFY3617STANMC,R962V0403A17M4SCAP,216721214,36000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY36AJ1NALHP,RCFY3617STANMC,R962V0603A17M4SCAP,214793623,36000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY36AJ1NALHP,RCFY3617STANMC,R962V0703A17M4SCAP,214793332,36000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY36AJ1NALHP,RCFY3621STANMC,R962V0703A17M4SCAP,214793397,36000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY36AJ1NALHP,RCFY3621STANMC,R962V0855A21M4SCAP,214793636,36000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY36AJ1NALHP,RCFY3621STANMC,R962V1005A21M4SCAP,214793491,36000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY42AJ1NALHP,RCFY3621STANMC,R962V0705A21M4SCAP,214790266,42000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY42AJ1NALHP,RCFY3621STANMC,R962V1005A21M4SCAP,214790343,42000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY42AJ1NALHP,RCFY4821STANMC,R962V0705A21M4SCAP,214795095,42000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY42AJ1NALHP,RCFY4821STANMC,R962V0855A21M4SCAP,214795091,42000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY42AJ1NALHP,RCFY4821STANMC,R962V1005A21M4SCAP,214795052,42000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY42AJ1NALHP,RCFY4824STANMC,R962V1155A24M4SCAP,214795815,42000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY48AJ1NALHP,RCFY4821STANMC,R962V0705A21M4SCAP,214788541,48000 BTU,13.4,,Yes - Furn w/Econet,No
RUUD,RA13NY48AJ1NALHP,RCFY4821STANMC,R962V0855A21M4SCAP,214788558,48000 BTU,13.4,,Yes - Furn w/Econet,No
